Time_s,Velocity_t,Velocity_tplus1,dx,dt,Mode
94,49,54,5,1,Accelerate
95,54,47,-7,1,Brake
96,47,52,5,1,Accelerate
97,52,45,-7,1,Brake
98,45,50,5,1,Accelerate
99,50,43,-7,1,Brake
100,43,48,5,1,Accelerate
101,48,53,5,1,Accelerate
102,53,46,-7,1,Brake
103,46,51,5,1,Accelerate
104,51,44,-7,1,Brake
105,44,49,5,1,Accelerate
106,49,54,5,1,Accelerate
107,54,47,-7,1,Brake
108,47,52,5,1,Accelerate
109,52,45,-7,1,Brake
110,45,50,5,1,Accelerate
111,50,43,-7,1,Brake
112,43,48,5,1,Accelerate
113,48,53,5,1,Accelerate
114,53,46,-7,1,Brake
115,46,51,5,1,Accelerate
116,51,44,-7,1,Brake
117,44,49,5,1,Accelerate
118,49,54,5,1,Accelerate
119,54,47,-7,1,Brake
120,47,52,5,1,Accelerate
121,52,45,-7,1,Brake
122,45,50,5,1,Accelerate
123,50,43,-7,1,Brake
124,43,48,5,1,Accelerate
125,48,53,5,1,Accelerate
126,53,46,-7,1,Brake
127,46,51,5,1,Accelerate
128,51,44,-7,1,Brake
129,44,49,5,1,Accelerate
130,49,54,5,1,Accelerate
131,54,47,-7,1,Brake
132,47,52,5,1,Accelerate
133,52,45,-7,1,Brake
134,45,50,5,1,Accelerate
135,50,43,-7,1,Brake
136,43,48,5,1,Accelerate
137,48,53,5,1,Accelerate
138,53,46,-7,1,Brake
139,46,51,5,1,Accelerate
140,51,44,-7,1,Brake
141,44,49,5,1,Accelerate
142,49,54,5,1,Accelerate
143,54,47,-7,1,Brake
144,47,52,5,1,Accelerate
145,52,45,-7,1,Brake
146,45,50,5,1,Accelerate
147,50,43,-7,1,Brake
148,43,48,5,1,Accelerate
149,48,53,5,1,Accelerate
150,53,46,-7,1,Brake
151,46,51,5,1,Accelerate
152,51,44,-7,1,Brake
153,44,49,5,1,Accelerate
154,49,54,5,1,Accelerate
155,54,47,-7,1,Brake
156,47,52,5,1,Accelerate
157,52,45,-7,1,Brake
158,45,50,5,1,Accelerate
159,50,43,-7,1,Brake
160,43,48,5,1,Accelerate
161,48,53,5,1,Accelerate
162,53,46,-7,1,Brake
163,46,51,5,1,Accelerate
164,51,44,-7,1,Brake
165,44,49,5,1,Accelerate
166,49,54,5,1,Accelerate
167,54,47,-7,1,Brake
168,47,52,5,1,Accelerate
169,52,45,-7,1,Brake
170,45,50,5,1,Accelerate
171,50,43,-7,1,Brake
172,43,48,5,1,Accelerate
173,48,53,5,1,Accelerate
174,53,46,-7,1,Brake
175,46,51,5,1,Accelerate
176,51,44,-7,1,Brake
177,44,49,5,1,Accelerate
178,49,54,5,1,Accelerate
179,54,47,-7,1,Brake
180,47,52,5,1,Accelerate
181,52,45,-7,1,Brake
182,45,50,5,1,Accelerate
183,50,43,-7,1,Brake
184,43,48,5,1,Accelerate
185,48,53,5,1,Accelerate
186,53,46,-7,1,Brake
187,46,51,5,1,Accelerate
188,51,44,-7,1,Brake
189,44,49,5,1,Accelerate
190,49,54,5,1,Accelerate
191,54,47,-7,1,Brake
192,47,52,5,1,Accelerate
193,52,45,-7,1,Brake
194,45,50,5,1,Accelerate
195,50,43,-7,1,Brake
196,43,48,5,1,Accelerate
197,48,53,5,1,Accelerate
198,53,46,-7,1,Brake
199,46,51,5,1,Accelerate
200,51,44,-7,1,Brake
201,44,49,5,1,Accelerate
202,49,54,5,1,Accelerate
203,54,47,-7,1,Brake
204,47,52,5,1,Accelerate
205,52,45,-7,1,Brake
206,45,50,5,1,Accelerate
207,50,43,-7,1,Brake
208,43,48,5,1,Accelerate
209,48,53,5,1,Accelerate
210,53,46,-7,1,Brake
211,46,51,5,1,Accelerate
212,51,44,-7,1,Brake
213,44,49,5,1,Accelerate
214,49,54,5,1,Accelerate
215,54,47,-7,1,Brake
216,47,52,5,1,Accelerate
217,52,45,-7,1,Brake
218,45,50,5,1,Accelerate
219,50,43,-7,1,Brake
220,43,48,5,1,Accelerate
221,48,53,5,1,Accelerate
222,53,46,-7,1,Brake
223,46,51,5,1,Accelerate
224,51,44,-7,1,Brake
225,44,49,5,1,Accelerate
226,49,54,5,1,Accelerate
227,54,47,-7,1,Brake
228,47,52,5,1,Accelerate
229,52,45,-7,1,Brake
230,45,50,5,1,Accelerate
231,50,43,-7,1,Brake
232,43,48,5,1,Accelerate
233,48,53,5,1,Accelerate
234,53,46,-7,1,Brake
235,46,51,5,1,Accelerate
236,51,44,-7,1,Brake
237,44,49,5,1,Accelerate
238,49,54,5,1,Accelerate
239,54,47,-7,1,Brake
240,47,52,5,1,Accelerate
241,52,45,-7,1,Brake
242,45,50,5,1,Accelerate
243,50,43,-7,1,Brake
244,43,48,5,1,Accelerate
245,48,53,5,1,Accelerate
246,53,46,-7,1,Brake
247,46,51,5,1,Accelerate
248,51,44,-7,1,Brake
249,44,49,5,1,Accelerate
250,49,54,5,1,Accelerate
251,54,47,-7,1,Brake
252,47,52,5,1,Accelerate
253,52,45,-7,1,Brake
254,45,50,5,1,Accelerate
255,50,43,-7,1,Brake
256,43,48,5,1,Accelerate
257,48,53,5,1,Accelerate
258,53,46,-7,1,Brake
259,46,51,5,1,Accelerate
260,51,44,-7,1,Brake
261,44,49,5,1,Accelerate
262,49,54,5,1,Accelerate
263,54,47,-7,1,Brake
264,47,52,5,1,Accelerate
265,52,45,-7,1,Brake
266,45,50,5,1,Accelerate
267,50,43,-7,1,Brake
268,43,48,5,1,Accelerate
269,48,53,5,1,Accelerate
270,53,46,-7,1,Brake
271,46,51,5,1,Accelerate
272,51,44,-7,1,Brake
273,44,49,5,1,Accelerate
274,49,54,5,1,Accelerate
275,54,47,-7,1,Brake
276,47,52,5,1,Accelerate
277,52,45,-7,1,Brake
278,45,50,5,1,Accelerate
279,50,43,-7,1,Brake
280,43,48,5,1,Accelerate
281,48,53,5,1,Accelerate
282,53,46,-7,1,Brake
283,46,51,5,1,Accelerate
284,51,44,-7,1,Brake
285,44,49,5,1,Accelerate
286,49,54,5,1,Accelerate
287,54,47,-7,1,Brake
288,47,52,5,1,Accelerate
289,52,45,-7,1,Brake
290,45,50,5,1,Accelerate
291,50,43,-7,1,Brake
292,43,48,5,1,Accelerate
293,48,53,5,1,Accelerate
294,53,46,-7,1,Brake
295,46,51,5,1,Accelerate
296,51,44,-7,1,Brake
297,44,49,5,1,Accelerate
298,49,54,5,1,Accelerate
299,54,47,-7,1,Brake
300,47,52,5,1,Accelerate
301,52,45,-7,1,Brake
302,45,50,5,1,Accelerate
303,50,43,-7,1,Brake
304,43,48,5,1,Accelerate
305,48,53,5,1,Accelerate
306,53,46,-7,1,Brake
307,46,51,5,1,Accelerate
308,51,44,-7,1,Brake
309,44,49,5,1,Accelerate
310,49,54,5,1,Accelerate
311,54,47,-7,1,Brake
312,47,52,5,1,Accelerate
313,52,45,-7,1,Brake
314,45,50,5,1,Accelerate
315,50,43,-7,1,Brake
316,43,48,5,1,Accelerate
317,48,53,5,1,Accelerate
318,53,46,-7,1,Brake
319,46,51,5,1,Accelerate
320,51,44,-7,1,Brake
321,44,49,5,1,Accelerate
322,49,54,5,1,Accelerate
323,54,47,-7,1,Brake
324,47,52,5,1,Accelerate
325,52,45,-7,1,Brake
326,45,50,5,1,Accelerate
327,50,43,-7,1,Brake
328,43,48,5,1,Accelerate
329,48,53,5,1,Accelerate
330,53,46,-7,1,Brake
331,46,51,5,1,Accelerate
332,51,44,-7,1,Brake
333,44,49,5,1,Accelerate
334,49,54,5,1,Accelerate
335,54,47,-7,1,Brake
336,47,52,5,1,Accelerate
337,52,45,-7,1,Brake
338,45,50,5,1,Accelerate
339,50,43,-7,1,Brake
340,43,48,5,1,Accelerate
341,48,53,5,1,Accelerate
342,53,46,-7,1,Brake
343,46,51,5,1,Accelerate
344,51,44,-7,1,Brake
345,44,49,5,1,Accelerate
346,49,54,5,1,Accelerate
347,54,47,-7,1,Brake
348,47,52,5,1,Accelerate
349,52,45,-7,1,Brake
350,45,50,5,1,Accelerate
351,50,43,-7,1,Brake
352,43,48,5,1,Accelerate
353,48,53,5,1,Accelerate
354,53,46,-7,1,Brake
355,46,51,5,1,Accelerate
356,51,44,-7,1,Brake
357,44,49,5,1,Accelerate
358,49,54,5,1,Accelerate
359,54,47,-7,1,Brake
360,47,52,5,1,Accelerate
361,52,45,-7,1,Brake
362,45,50,5,1,Accelerate
363,50,43,-7,1,Brake
364,43,48,5,1,Accelerate
365,48,53,5,1,Accelerate
366,53,46,-7,1,Brake
367,46,51,5,1,Accelerate
368,51,44,-7,1,Brake
369,44,49,5,1,Accelerate
370,49,54,5,1,Accelerate
371,54,47,-7,1,Brake
372,47,52,5,1,Accelerate
373,52,45,-7,1,Brake
374,45,50,5,1,Accelerate
375,50,43,-7,1,Brake
376,43,48,5,1,Accelerate
377,48,53,5,1,Accelerate
378,53,46,-7,1,Brake
379,46,51,5,1,Accelerate
380,51,44,-7,1,Brake
381,44,49,5,1,Accelerate
382,49,54,5,1,Accelerate
383,54,47,-7,1,Brake
384,47,52,5,1,Accelerate
385,52,45,-7,1,Brake
386,45,50,5,1,Accelerate
387,50,43,-7,1,Brake
388,43,48,5,1,Accelerate
389,48,53,5,1,Accelerate
390,53,46,-7,1,Brake
391,46,51,5,1,Accelerate
392,51,44,-7,1,Brake
393,44,49,5,1,Accelerate
394,49,54,5,1,Accelerate
395,54,47,-7,1,Brake
396,47,52,5,1,Accelerate
397,52,45,-7,1,Brake
398,45,50,5,1,Accelerate
399,50,43,-7,1,Brake
400,43,48,5,1,Accelerate
401,48,53,5,1,Accelerate
402,53,46,-7,1,Brake
403,46,51,5,1,Accelerate
404,51,44,-7,1,Brake
405,44,49,5,1,Accelerate
406,49,54,5,1,Accelerate
407,54,47,-7,1,Brake
408,47,52,5,1,Accelerate
409,52,45,-7,1,Brake
410,45,50,5,1,Accelerate
411,50,43,-7,1,Brake
412,43,48,5,1,Accelerate
413,48,53,5,1,Accelerate
414,53,46,-7,1,Brake
415,46,51,5,1,Accelerate
416,51,44,-7,1,Brake
417,44,49,5,1,Accelerate
418,49,54,5,1,Accelerate
419,54,47,-7,1,Brake
420,47,52,5,1,Accelerate
421,52,45,-7,1,Brake
422,45,50,5,1,Accelerate
423,50,43,-7,1,Brake
424,43,48,5,1,Accelerate
425,48,53,5,1,Accelerate
426,53,46,-7,1,Brake
427,46,51,5,1,Accelerate
428,51,44,-7,1,Brake
429,44,49,5,1,Accelerate
430,49,54,5,1,Accelerate
431,54,47,-7,1,Brake
432,47,52,5,1,Accelerate
433,52,45,-7,1,Brake
434,45,50,5,1,Accelerate
435,50,43,-7,1,Brake
436,43,48,5,1,Accelerate
437,48,53,5,1,Accelerate
438,53,46,-7,1,Brake
439,46,51,5,1,Accelerate
440,51,44,-7,1,Brake
441,44,49,5,1,Accelerate
442,49,54,5,1,Accelerate
443,54,47,-7,1,Brake
444,47,52,5,1,Accelerate
445,52,45,-7,1,Brake
446,45,50,5,1,Accelerate
447,50,43,-7,1,Brake
448,43,48,5,1,Accelerate
449,48,53,5,1,Accelerate
450,53,46,-7,1,Brake
451,46,51,5,1,Accelerate
452,51,44,-7,1,Brake
453,44,49,5,1,Accelerate
454,49,54,5,1,Accelerate
455,54,47,-7,1,Brake
456,47,52,5,1,Accelerate
457,52,45,-7,1,Brake
458,45,50,5,1,Accelerate
459,50,43,-7,1,Brake
460,43,48,5,1,Accelerate
461,48,53,5,1,Accelerate
462,53,46,-7,1,Brake
463,46,51,5,1,Accelerate
464,51,44,-7,1,Brake
465,44,49,5,1,Accelerate
466,49,54,5,1,Accelerate
467,54,47,-7,1,Brake
468,47,52,5,1,Accelerate
469,52,45,-7,1,Brake
470,45,50,5,1,Accelerate
471,50,43,-7,1,Brake
472,43,48,5,1,Accelerate
473,48,53,5,1,Accelerate
474,53,46,-7,1,Brake
475,46,51,5,1,Accelerate
476,51,44,-7,1,Brake
477,44,49,5,1,Accelerate
478,49,54,5,1,Accelerate
479,54,47,-7,1,Brake
480,47,52,5,1,Accelerate
481,52,45,-7,1,Brake
482,45,50,5,1,Accelerate
483,50,43,-7,1,Brake
484,43,48,5,1,Accelerate
485,48,53,5,1,Accelerate
486,53,46,-7,1,Brake
487,46,51,5,1,Accelerate
488,51,44,-7,1,Brake
489,44,49,5,1,Accelerate
490,49,54,5,1,Accelerate
491,54,47,-7,1,Brake
492,47,52,5,1,Accelerate
493,52,45,-7,1,Brake
494,45,50,5,1,Accelerate
495,50,43,-7,1,Brake
496,43,48,5,1,Accelerate
497,48,53,5,1,Accelerate
498,53,46,-7,1,Brake
499,46,51,5,1,Accelerate
500,51,44,-7,1,Brake
501,44,49,5,1,Accelerate
502,49,54,5,1,Accelerate
503,54,47,-7,1,Brake
504,47,52,5,1,Accelerate
505,52,45,-7,1,Brake
506,45,50,5,1,Accelerate
507,50,43,-7,1,Brake
508,43,48,5,1,Accelerate
509,48,53,5,1,Accelerate
510,53,46,-7,1,Brake
511,46,51,5,1,Accelerate
512,51,44,-7,1,Brake
513,44,49,5,1,Accelerate
514,49,54,5,1,Accelerate
515,54,47,-7,1,Brake
516,47,52,5,1,Accelerate
517,52,45,-7,1,Brake
518,45,50,5,1,Accelerate
519,50,43,-7,1,Brake
520,43,48,5,1,Accelerate
521,48,53,5,1,Accelerate
522,53,46,-7,1,Brake
523,46,51,5,1,Accelerate
524,51,44,-7,1,Brake
525,44,49,5,1,Accelerate
526,49,54,5,1,Accelerate
527,54,47,-7,1,Brake
528,47,52,5,1,Accelerate
529,52,45,-7,1,Brake
530,45,50,5,1,Accelerate
531,50,43,-7,1,Brake
532,43,48,5,1,Accelerate
533,48,53,5,1,Accelerate
534,53,46,-7,1,Brake
535,46,51,5,1,Accelerate
536,51,44,-7,1,Brake
537,44,49,5,1,Accelerate
538,49,54,5,1,Accelerate
539,54,47,-7,1,Brake
540,47,52,5,1,Accelerate
541,52,45,-7,1,Brake
542,45,50,5,1,Accelerate
543,50,43,-7,1,Brake
544,43,48,5,1,Accelerate
545,48,53,5,1,Accelerate
546,53,46,-7,1,Brake
547,46,51,5,1,Accelerate
548,51,44,-7,1,Brake
549,44,49,5,1,Accelerate
550,49,54,5,1,Accelerate
551,54,47,-7,1,Brake
552,47,52,5,1,Accelerate
553,52,45,-7,1,Brake
554,45,50,5,1,Accelerate
555,50,43,-7,1,Brake
556,43,48,5,1,Accelerate
557,48,53,5,1,Accelerate
558,53,46,-7,1,Brake
559,46,51,5,1,Accelerate
560,51,44,-7,1,Brake
561,44,49,5,1,Accelerate
562,49,54,5,1,Accelerate
563,54,47,-7,1,Brake
564,47,52,5,1,Accelerate
565,52,45,-7,1,Brake
566,45,50,5,1,Accelerate
567,50,43,-7,1,Brake
568,43,48,5,1,Accelerate
569,48,53,5,1,Accelerate
570,53,46,-7,1,Brake
571,46,51,5,1,Accelerate
572,51,44,-7,1,Brake
573,44,49,5,1,Accelerate
574,49,54,5,1,Accelerate
575,54,47,-7,1,Brake
576,47,52,5,1,Accelerate
577,52,45,-7,1,Brake
578,45,50,5,1,Accelerate
579,50,43,-7,1,Brake
580,43,48,5,1,Accelerate
581,48,53,5,1,Accelerate
582,53,46,-7,1,Brake
583,46,51,5,1,Accelerate
584,51,44,-7,1,Brake
585,44,49,5,1,Accelerate
586,49,54,5,1,Accelerate
587,54,47,-7,1,Brake
588,47,52,5,1,Accelerate
589,52,45,-7,1,Brake
590,45,50,5,1,Accelerate
591,50,43,-7,1,Brake
592,43,48,5,1,Accelerate
593,48,53,5,1,Accelerate
594,53,46,-7,1,Brake
595,46,51,5,1,Accelerate
596,51,44,-7,1,Brake
597,44,49,5,1,Accelerate
598,49,54,5,1,Accelerate
599,54,47,-7,1,Brake
600,47,52,5,1,Accelerate
601,52,45,-7,1,Brake
602,45,50,5,1,Accelerate
603,50,43,-7,1,Brake
604,43,48,5,1,Accelerate
605,48,53,5,1,Accelerate
606,53,46,-7,1,Brake
607,46,51,5,1,Accelerate
608,51,44,-7,1,Brake
609,44,49,5,1,Accelerate
610,49,54,5,1,Accelerate
611,54,47,-7,1,Brake
612,47,52,5,1,Accelerate
613,52,45,-7,1,Brake
614,45,50,5,1,Accelerate
615,50,43,-7,1,Brake
616,43,48,5,1,Accelerate
617,48,53,5,1,Accelerate
618,53,46,-7,1,Brake
619,46,51,5,1,Accelerate
620,51,44,-7,1,Brake
621,44,49,5,1,Accelerate
622,49,54,5,1,Accelerate
623,54,47,-7,1,Brake
624,47,52,5,1,Accelerate
625,52,45,-7,1,Brake
626,45,50,5,1,Accelerate
627,50,43,-7,1,Brake
628,43,48,5,1,Accelerate
629,48,53,5,1,Accelerate
630,53,46,-7,1,Brake
631,46,51,5,1,Accelerate
632,51,44,-7,1,Brake
633,44,49,5,1,Accelerate
634,49,54,5,1,Accelerate
635,54,47,-7,1,Brake
636,47,52,5,1,Accelerate
637,52,45,-7,1,Brake
638,45,50,5,1,Accelerate
639,50,43,-7,1,Brake
640,43,48,5,1,Accelerate
641,48,53,5,1,Accelerate
642,53,46,-7,1,Brake
643,46,51,5,1,Accelerate
644,51,44,-7,1,Brake
645,44,49,5,1,Accelerate
646,49,54,5,1,Accelerate
647,54,47,-7,1,Brake
648,47,52,5,1,Accelerate
649,52,45,-7,1,Brake
650,45,50,5,1,Accelerate
651,50,43,-7,1,Brake
652,43,48,5,1,Accelerate
653,48,53,5,1,Accelerate
654,53,46,-7,1,Brake
655,46,51,5,1,Accelerate
656,51,44,-7,1,Brake
657,44,49,5,1,Accelerate
658,49,54,5,1,Accelerate
659,54,47,-7,1,Brake
660,47,52,5,1,Accelerate
661,52,45,-7,1,Brake
662,45,50,5,1,Accelerate
663,50,43,-7,1,Brake
664,43,48,5,1,Accelerate
665,48,53,5,1,Accelerate
666,53,46,-7,1,Brake
667,46,51,5,1,Accelerate
668,51,44,-7,1,Brake
669,44,49,5,1,Accelerate
670,49,54,5,1,Accelerate
671,54,47,-7,1,Brake
672,47,52,5,1,Accelerate
673,52,45,-7,1,Brake
674,45,50,5,1,Accelerate
675,50,43,-7,1,Brake
676,43,48,5,1,Accelerate
677,48,53,5,1,Accelerate
678,53,46,-7,1,Brake
679,46,51,5,1,Accelerate
680,51,44,-7,1,Brake
681,44,49,5,1,Accelerate
682,49,54,5,1,Accelerate
683,54,47,-7,1,Brake
684,47,52,5,1,Accelerate
685,52,45,-7,1,Brake
686,45,50,5,1,Accelerate
687,50,43,-7,1,Brake
688,43,48,5,1,Accelerate
689,48,53,5,1,Accelerate
690,53,46,-7,1,Brake
691,46,51,5,1,Accelerate
692,51,44,-7,1,Brake
693,44,49,5,1,Accelerate
694,49,54,5,1,Accelerate
695,54,47,-7,1,Brake
696,47,52,5,1,Accelerate
697,52,45,-7,1,Brake
698,45,50,5,1,Accelerate
699,50,43,-7,1,Brake
700,43,48,5,1,Accelerate
701,48,53,5,1,Accelerate
702,53,46,-7,1,Brake
703,46,51,5,1,Accelerate
704,51,44,-7,1,Brake
705,44,49,5,1,Accelerate
706,49,54,5,1,Accelerate
707,54,47,-7,1,Brake
708,47,52,5,1,Accelerate
709,52,45,-7,1,Brake
710,45,50,5,1,Accelerate
711,50,43,-7,1,Brake
712,43,48,5,1,Accelerate
713,48,53,5,1,Accelerate
714,53,46,-7,1,Brake
715,46,51,5,1,Accelerate
716,51,44,-7,1,Brake
717,44,49,5,1,Accelerate
718,49,54,5,1,Accelerate
719,54,47,-7,1,Brake
720,47,52,5,1,Accelerate
721,52,45,-7,1,Brake
722,45,50,5,1,Accelerate
723,50,43,-7,1,Brake
724,43,48,5,1,Accelerate
725,48,53,5,1,Accelerate
726,53,46,-7,1,Brake
727,46,51,5,1,Accelerate
728,51,44,-7,1,Brake
729,44,49,5,1,Accelerate
730,49,54,5,1,Accelerate
731,54,47,-7,1,Brake
732,47,52,5,1,Accelerate
733,52,45,-7,1,Brake
734,45,50,5,1,Accelerate
735,50,43,-7,1,Brake
736,43,48,5,1,Accelerate
737,48,53,5,1,Accelerate
738,53,46,-7,1,Brake
739,46,51,5,1,Accelerate
740,51,44,-7,1,Brake
741,44,49,5,1,Accelerate
742,49,54,5,1,Accelerate
743,54,47,-7,1,Brake
744,47,52,5,1,Accelerate
745,52,45,-7,1,Brake
746,45,50,5,1,Accelerate
747,50,43,-7,1,Brake
748,43,48,5,1,Accelerate
749,48,53,5,1,Accelerate
750,53,46,-7,1,Brake
751,46,51,5,1,Accelerate
752,51,44,-7,1,Brake
753,44,49,5,1,Accelerate
754,49,54,5,1,Accelerate
755,54,47,-7,1,Brake
756,47,52,5,1,Accelerate
757,52,45,-7,1,Brake
758,45,50,5,1,Accelerate
759,50,43,-7,1,Brake
760,43,48,5,1,Accelerate
761,48,53,5,1,Accelerate
762,53,46,-7,1,Brake
763,46,51,5,1,Accelerate
764,51,44,-7,1,Brake
765,44,49,5,1,Accelerate
766,49,54,5,1,Accelerate
767,54,47,-7,1,Brake
768,47,52,5,1,Accelerate
769,52,45,-7,1,Brake
770,45,50,5,1,Accelerate
771,50,43,-7,1,Brake
772,43,48,5,1,Accelerate
773,48,53,5,1,Accelerate
774,53,46,-7,1,Brake
775,46,51,5,1,Accelerate
776,51,44,-7,1,Brake
777,44,49,5,1,Accelerate
778,49,54,5,1,Accelerate
779,54,47,-7,1,Brake
780,47,52,5,1,Accelerate
781,52,45,-7,1,Brake
782,45,50,5,1,Accelerate
783,50,43,-7,1,Brake
784,43,48,5,1,Accelerate
785,48,53,5,1,Accelerate
786,53,46,-7,1,Brake
787,46,51,5,1,Accelerate
788,51,44,-7,1,Brake
789,44,49,5,1,Accelerate
790,49,54,5,1,Accelerate
791,54,47,-7,1,Brake
792,47,52,5,1,Accelerate
793,52,45,-7,1,Brake
794,45,50,5,1,Accelerate
795,50,43,-7,1,Brake
796,43,48,5,1,Accelerate
797,48,53,5,1,Accelerate
798,53,46,-7,1,Brake
799,46,51,5,1,Accelerate
800,51,44,-7,1,Brake
801,44,49,5,1,Accelerate
802,49,54,5,1,Accelerate
803,54,47,-7,1,Brake
804,47,52,5,1,Accelerate
805,52,45,-7,1,Brake
806,45,50,5,1,Accelerate
807,50,43,-7,1,Brake
808,43,48,5,1,Accelerate
809,48,53,5,1,Accelerate
810,53,46,-7,1,Brake
811,46,51,5,1,Accelerate
812,51,44,-7,1,Brake
813,44,49,5,1,Accelerate
814,49,54,5,1,Accelerate
815,54,47,-7,1,Brake
816,47,52,5,1,Accelerate
817,52,45,-7,1,Brake
818,45,50,5,1,Accelerate
819,50,43,-7,1,Brake
820,43,48,5,1,Accelerate
821,48,53,5,1,Accelerate
822,53,46,-7,1,Brake
823,46,51,5,1,Accelerate
824,51,44,-7,1,Brake
825,44,49,5,1,Accelerate
826,49,54,5,1,Accelerate
827,54,47,-7,1,Brake
828,47,52,5,1,Accelerate
829,52,45,-7,1,Brake
830,45,50,5,1,Accelerate
831,50,43,-7,1,Brake
832,43,48,5,1,Accelerate
833,48,53,5,1,Accelerate
834,53,46,-7,1,Brake
835,46,51,5,1,Accelerate
836,51,44,-7,1,Brake
837,44,49,5,1,Accelerate
838,49,54,5,1,Accelerate
839,54,47,-7,1,Brake
840,47,52,5,1,Accelerate
841,52,45,-7,1,Brake
842,45,50,5,1,Accelerate
843,50,43,-7,1,Brake
844,43,48,5,1,Accelerate
845,48,53,5,1,Accelerate
846,53,46,-7,1,Brake
847,46,51,5,1,Accelerate
848,51,44,-7,1,Brake
849,44,49,5,1,Accelerate
850,49,54,5,1,Accelerate
851,54,47,-7,1,Brake
852,47,52,5,1,Accelerate
853,52,45,-7,1,Brake
854,45,50,5,1,Accelerate
855,50,43,-7,1,Brake
856,43,48,5,1,Accelerate
857,48,53,5,1,Accelerate
858,53,46,-7,1,Brake
859,46,51,5,1,Accelerate
860,51,44,-7,1,Brake
861,44,49,5,1,Accelerate
862,49,54,5,1,Accelerate
863,54,47,-7,1,Brake
864,47,52,5,1,Accelerate
865,52,45,-7,1,Brake
866,45,50,5,1,Accelerate
867,50,43,-7,1,Brake
868,43,48,5,1,Accelerate
869,48,53,5,1,Accelerate
870,53,46,-7,1,Brake
871,46,51,5,1,Accelerate
872,51,44,-7,1,Brake
873,44,49,5,1,Accelerate
874,49,54,5,1,Accelerate
875,54,47,-7,1,Brake
876,47,52,5,1,Accelerate
877,52,45,-7,1,Brake
878,45,50,5,1,Accelerate
879,50,43,-7,1,Brake
880,43,48,5,1,Accelerate
881,48,53,5,1,Accelerate
882,53,46,-7,1,Brake
883,46,51,5,1,Accelerate
884,51,44,-7,1,Brake
885,44,49,5,1,Accelerate
886,49,54,5,1,Accelerate
887,54,47,-7,1,Brake
888,47,52,5,1,Accelerate
889,52,45,-7,1,Brake
890,45,50,5,1,Accelerate
891,50,43,-7,1,Brake
892,43,48,5,1,Accelerate
893,48,53,5,1,Accelerate
